test_id,question,expected_sql,generated_sql,accuracy_metric,table_match,column_match,aggregation_match,execution_success,response_time_ms,error_message
energy_001,What is the average energy efficiency for Furnace 1 in January 2025?,SELECT AVG(energy_efficiency) FROM kpi_energy_efficiency_data WHERE furnace_no = 1 AND date BETWEEN '2025-01-01' AND '2025-01-31',"SELECT AVG(energy_efficiency) 
FROM kpi_energy_efficiency_data 
WHERE furnace_no = 1 
AND date BETWEEN '2025-01-01' AND '2025-01-31'",exact_match,True,False,True,True,16437.47854232788,
energy_002,Total energy used last week,"SELECT furnace_no, SUM(energy_used) as total FROM kpi_energy_used_data WHERE date >= CURRENT_DATE - INTERVAL '7 days' GROUP BY furnace_no",SELECT SUM(energy_used) AS total_energy_used FROM kpi_energy_used_data WHERE date >= CURRENT_DATE - INTERVAL '7 days',semantic_match,True,False,True,True,16248.911142349243,
mtbf_001,What is the MTBF for Furnace 1 in January 2025?,SELECT AVG(mtbf_hours) FROM kpi_mean_time_between_failures_data WHERE furnace_no = 1 AND date BETWEEN '2025-01-01' AND '2025-01-31',,failed,False,False,False,False,2818.8366889953613,HTTP 500
mttr_001,MTTR by furnace,"SELECT furnace_no, AVG(mttr_hours) as avg_mttr FROM kpi_mean_time_to_repair_data GROUP BY furnace_no ORDER BY avg_mttr ASC",,failed,False,False,False,False,2816.896915435791,HTTP 500
tap_001,What was the total tap production for Furnace 1 in January 2025?,SELECT SUM(cast_weight) as total_production FROM core_process_tap_production WHERE furnace_no = 1 AND tap_production_datetime BETWEEN '2025-01-01' AND '2025-01-31',,failed,False,False,False,False,2798.051357269287,HTTP 500
tap_002,Recent tap production,"SELECT tap_id, furnace_no, cast_weight, tap_production_datetime FROM core_process_tap_production ORDER BY tap_production_datetime DESC LIMIT 20",,failed,False,False,True,False,2864.7515773773193,HTTP 500
safety_001,How many safety incidents were reported for Furnace 1 in January 2025?,SELECT COUNT(*) FROM kpi_safety_incidents_reported_data WHERE furnace_no = 1 AND date BETWEEN '2025-01-01' AND '2025-01-31',,failed,False,False,False,False,2878.168821334839,HTTP 500
maint_001,Show maintenance compliance percentage,"SELECT furnace_no, AVG(compliance_percentage) as avg_compliance FROM kpi_maintenance_compliance_data GROUP BY furnace_no",,failed,False,False,False,False,2846.011161804199,HTTP 500
cap_001,Capacity utilization by furnace,"SELECT furnace_no, AVG(utilization_percentage) as avg_utilization FROM kpi_resource_capacity_utilization_data GROUP BY furnace_no ORDER BY avg_utilization DESC",,failed,False,False,False,False,2811.8507862091064,HTTP 500
config_001,What are the crucible diameter and depth for Furnace 1?,"SELECT crucible_diameter, crucible_depth FROM furnace_config_parameters WHERE furnace_no = 1",,failed,False,False,True,False,2815.2759075164795,HTTP 500
complex_001,Which furnaces have OEE below 80%?,"SELECT furnace_no, AVG(oee_percentage) as avg_oee FROM kpi_overall_equipment_efficiency_data GROUP BY furnace_no HAVING AVG(oee_percentage) < 80",,failed,False,False,False,False,2790.187120437622,HTTP 500
complex_002,Top 5 furnaces by total downtime in 2025,"SELECT furnace_no, SUM(downtime_hours) as total FROM kpi_downtime_data WHERE date >= '2025-01-01' GROUP BY furnace_no ORDER BY total DESC LIMIT 5",,failed,False,False,False,False,2837.6879692077637,HTTP 500
edge_001,furnace health,"SELECT furnace_no, AVG(oee_percentage) as avg_oee FROM kpi_overall_equipment_efficiency_data GROUP BY furnace_no",,failed,False,False,False,False,2821.9056129455566,HTTP 500
edge_002,yeild for furnance 1,SELECT AVG(yield_percentage) FROM kpi_yield_data WHERE furnace_no = 1,SELECT AVG(yield_percentage) FROM kpi_yield_data WHERE furnace_no = 1,exact_match,True,False,True,True,3102.588653564453,
